Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
993,518,Cc1cccc(c1)C2=C(Br)[C@H](O)CCC2,6.8,1.0,0.05,10.1021/acs.orglett.1c01744,IC3
994,518,Cc1cccc(c1)C2=C(Br)[C@@H](O)CCC2,8.4,1.0,0.05,10.1021/acs.orglett.1c01744,IC3
2064,1077,CC(C)(C)OC(=O)N[C@H](CCC(=O)OCc1ccccc1)c2c[nH]c3ccccc23,9.3,1.0,0.25,10.1039/D1SC06613G,IC3
2065,1077,CC(C)(C)OC(=O)N[C@@H](CCC(=O)OCc1ccccc1)c2c[nH]c3ccccc23,11.5,1.0,0.25,10.1039/D1SC06613G,IC3
2131,1113,COc1cccc2[nH]cc([C@@H](CCC(=O)c3ccccc3)NC(=O)OC(C)(C)C)c12,18.0,1.0,0.25,10.1039/D1SC06613G,IC3
2132,1113,COc1cccc2[nH]cc([C@H](CCC(=O)c3ccccc3)NC(=O)OC(C)(C)C)c12,11.7,1.0,0.25,10.1039/D1SC06613G,IC3
2263,1181,COC(=O)CC[C@@H](NC(=O)OC(C)(C)C)c1c[nH]c2ccccc12,10.2,1.0,0.25,10.1039/D1SC06613G,IC3
2264,1181,COC(=O)CC[C@H](NC(=O)OC(C)(C)C)c1c[nH]c2ccccc12,12.1,1.0,0.25,10.1039/D1SC06613G,IC3
2679,1396,CC(C)(C)OC(=O)N[C@H](CCC(=O)C1CC1)c2c[nH]c3ccccc23,10.6,1.0,0.25,10.1039/D1SC06613G,IC3
2680,1396,CC(C)(C)OC(=O)N[C@@H](CCC(=O)C1CC1)c2c[nH]c3ccccc23,13.5,1.0,0.25,10.1039/D1SC06613G,IC3
2826,1471,COc1ccccc1C[C@]23CCCN2C(=O)CCCC3=O,14.8,1.0,0.2,10.1002/anie.202107909,IC3
2827,1471,COc1ccccc1C[C@@]23CCCN2C(=O)CCCC3=O,13.92,1.0,0.2,10.1002/anie.202107909,IC3
3129,1630,Cl[C@@H]1CCCO[C@@]1(C(=O)c2ccc3ccccc3c2)c4ccc5ccccc5c4,15.83,1.0,0.05,10.1021/ja201794v,IC3
3422,1781,Cl[C@H]1CCCO[C@]1(C(=O)c2ccc3ccccc3c2)c4ccc5ccccc5c4,14.9,1.0,0.05,10.1021/ja201794v,IC3
3423,1781,Cl[C@@H]1CCCO[C@]1(C(=O)c2ccc3ccccc3c2)c4ccc5ccccc5c4,15.9,1.0,0.05,10.1021/ja201794v,IC3
4266,2215,FC(F)(F)c1ccc(C[C@]23CCCN2C(=O)CCC3=O)cc1,14.65,1.0,0.2,10.1002/anie.202107909,IC3
4267,2215,FC(F)(F)c1ccc(C[C@@]23CCCN2C(=O)CCC3=O)cc1,19.98,1.0,0.2,10.1002/anie.202107909,IC3
4516,2345,O=C1CCCC(=O)[C@]2(CCCN12)Cc3ccccc3,20.03,1.0,0.15,10.1002/anie.202107909,IC3
4517,2345,O=C1CCCC(=O)[C@@]2(CCCN12)Cc3ccccc3,21.28,1.0,0.15,10.1002/anie.202107909,IC3
4529,2352,O=C1CCCC(=O)[C@]2(CCCN12)Cc3sccc3,19.85,1.0,0.2,10.1002/anie.202107909,IC3
4530,2352,O=C1CCCC(=O)[C@@]2(CCCN12)Cc3sccc3,21.31,1.0,0.2,10.1002/anie.202107909,IC3
4764,2473,Clc1ccccc1C[C@]23CCCN2C(=O)CCCC3=O,18.76,1.0,0.2,10.1002/anie.202107909,IC3
4765,2473,Clc1ccccc1C[C@@]23CCCN2C(=O)CCCC3=O,22.84,1.0,0.2,10.1002/anie.202107909,IC3
5144,2670,COc1ccc(C[C@]23CCCN2C(=O)CCCC3=O)cc1,22.84,1.0,0.2,10.1002/anie.202107909,IC3
5145,2670,COc1ccc(C[C@@]23CCCN2C(=O)CCCC3=O)cc1,25.96,1.0,0.2,10.1002/anie.202107909,IC3
6010,3115,O=C1CCC(=O)[C@]2(CCCN12)Cc3ccccc3,27.42,1.0,0.2,10.1002/anie.202107909,IC3
6011,3115,O=C1CCC(=O)[C@@]2(CCCN12)Cc3ccccc3,38.13,1.0,0.2,10.1002/anie.202107909,IC3
6114,3168,Cc1ccc(C[C@]23CCCN2C(=O)CCC3=O)cc1,27.76,1.0,0.2,10.1002/anie.202107909,IC3
6115,3168,Cc1ccc(C[C@@]23CCCN2C(=O)CCC3=O)cc1,40.89,1.0,0.2,10.1002/anie.202107909,IC3
6325,3277,COc1ccc(C[C@]23CCCN2C(=O)CCC3=O)cc1,40.23,1.0,0.2,10.1002/anie.202107909,IC3
6326,3277,COc1ccc(C[C@@]23CCCN2C(=O)CCC3=O)cc1,50.99,1.0,0.2,10.1002/anie.202107909,IC3
6581,3408,CC(C)(C)OC(=O)[C@]1(CCC(=N1)c2ccc3ccccc3c2)C\C=C\c4ccccc4,12.0,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
6582,3408,CC(C)(C)OC(=O)[C@@]1(CCC(=N1)c2ccc3ccccc3c2)C\C=C\c4ccccc4,10.0,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
6692,3470,CCOC(=O)[C@]1(CCC(=N1)c2cccc(F)c2)[C@@H](OC(C)=O)\C=C\c3ccccc3,11.6,1.0,0.1,10.31635/ccschem.021.202101044,IC3
6697,3473,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@@H](OC(C)=O)\C=C\C3CCCCC3,12.2,1.0,0.1,10.31635/ccschem.021.202101044,IC3
6698,3474,COC(=O)[C@]1(CCC(=N1)c2ccccc2)CC=C(C)C,12.3,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
6699,3474,COC(=O)[C@@]1(CCC(=N1)c2ccccc2)CC=C(C)C,10.1,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
6716,3483,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@@H](OC(C)=O)\C=C\CC\C=C/CC,16.9,1.0,0.1,10.31635/ccschem.021.202101044,IC3
6870,3566,CCOC(=O)[C@@](NC(=O)OC(C)(C)C)(OCC)C#Cc1cccc(C)c1,16.12,1.0,0.1,10.1038/s41467/022/28002/7,IC3
6871,3566,CCOC(=O)[C@](NC(=O)OC(C)(C)C)(OCC)C#Cc1cccc(C)c1,10.286,1.0,0.1,10.1038/s41467/022/28002/7,IC3
6903,3583,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@@H](OC(C)=O)\C=C\c3ccccc3C,13.8,1.0,0.1,10.31635/ccschem.021.202101044,IC3
6904,3584,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@@H](OC(C)=O)\C=C\c3cccc(OC)c3,13.9,1.0,0.2,10.31635/ccschem.021.202101044,IC3
6909,3587,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@@H](OC(C)=O)\C=C\c3cccc(F)c3,16.0,1.0,0.1,10.31635/ccschem.021.202101044,IC3
6912,3589,COc1cccc(c1)C2=N[C@@](CC2)(C\C=C\c3ccccc3)C(=O)OC(C)(C)C,17.3,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
6913,3589,COc1cccc(c1)C2=N[C@](CC2)(C\C=C\c3ccccc3)C(=O)OC(C)(C)C,10.3,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
6920,3593,CCOc1ccc(cc1)[C@@H](O)COC(=O)C(C)(C)C,8.1,0.8,0.2,10.1002/anie.201306231,IC3
6921,3593,CCOc1ccc(cc1)[C@H](O)COC(=O)C(C)(C)C,10.3,0.8,0.2,10.1002/anie.201306231,IC3
6951,3610,CCOC(=O)[C@@](NC(=O)OC(C)(C)C)(OCC)C#Cc1sccc1,12.97,1.0,0.1,10.1038/s41467/022/28002/7,IC3
6952,3610,CCOC(=O)[C@](NC(=O)OC(C)(C)C)(OCC)C#Cc1sccc1,10.305,1.0,0.1,10.1038/s41467/022/28002/7,IC3
6953,3611,CCOC(=O)[C@@](NC(=O)OC(C)(C)C)(OCC)C#Cc1cccc2ccccc12,15.554,1.0,0.1,10.1038/s41467/022/28002/7,IC3
6954,3611,CCOC(=O)[C@](NC(=O)OC(C)(C)C)(OCC)C#Cc1cccc2ccccc12,10.305,1.0,0.1,10.1038/s41467/022/28002/7,IC3
6985,3628,O[C@]1([C@H](C=C)c2ccc(cc2)C(F)(F)F)C(=O)N(Cc3cccc4ccccc34)c5ccccc15,7.747,1.0,0.1,10.1021/acs.orglett.8b02655,IC3
6986,3628,O[C@@]1([C@H](C=C)c2ccc(cc2)C(F)(F)F)C(=O)N(Cc3cccc4ccccc34)c5ccccc15,10.366,1.0,0.1,10.1021/acs.orglett.8b02655,IC3
7090,3686,C[C@@H](NC(C)=O)C#Cc1cc(Cl)cc(Cl)c1,6.969,1.0,0.1,10.1002/anie.202106566,IC3
7091,3686,C[C@H](NC(C)=O)C#Cc1cc(Cl)cc(Cl)c1,10.477,1.0,0.1,10.1002/anie.202106566,IC3
7121,3704,COC(=O)[C@@](C)(N)[C@@H](C=C)c1cccc(F)c1,12.4,1.0,0.05,10.1021/jacs.8b00187,IC3
7122,3705,COC(=O)[C@@](C)(N)[C@@H](C=C)c1cccc(F)c1,12.4,1.0,0.05,10.1021/jacs.8b00187,IC3
7209,3755,CC(C)(C)OC(=O)[C@]1(CCC(=N1)c2ccccc2)C/C=C/c3ccc4ccccc4c3,12.1,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
7210,3755,CC(C)(C)OC(=O)[C@@]1(CCC(=N1)c2ccccc2)C/C=C/c3ccc4ccccc4c3,10.6,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
7218,3760,C1C[C@@H]2Nc3ccccc3[C@@H]2C1,13.6,0.5,0.05,10.1016/j.tet.2013.06.016,IC3
7248,3777,C[C@@H](\C=C\c1ccc(C)c(C)c1)[C@@](C)(N)C(=O)OC(C)(C)C,8.6,1.0,0.05,10.1021/jacs.0c02150,IC3
7319,3817,CC[C@@H]1Cc2ccccc2C1=O,11.6,0.5,0.01,10.1016/j.tet.2018.11.057,IC3
7320,3817,CC[C@H]1Cc2ccccc2C1=O,10.7,0.5,0.01,10.1016/j.tet.2018.11.057,IC3
7341,3829,COC(=O)[C@]1(CCC(=N1)c2ccccc2)C\C=C\C,13.3,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
7342,3829,COC(=O)[C@@]1(CCC(=N1)c2ccccc2)C\C=C\C,10.7,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
7355,3837,CCOC(=O)[C@]1(CCC(=N1)c2cccc(C)c2)[C@@H](OC(C)=O)\C=C\c3ccccc3,15.9,1.0,0.1,10.31635/ccschem.021.202101044,IC3
7408,3867,CCCCC#C[C@](NC(=O)OC(C)(C)C)(OCC)C(=O)OCC,11.899,1.0,0.1,10.1038/s41467/022/28002/7,IC3
7409,3867,CCCCC#C[C@@](NC(=O)OC(C)(C)C)(OCC)C(=O)OCC,10.793,1.0,0.1,10.1038/s41467/022/28002/7,IC3
7428,3877,OCC[C@@H](CO)Nc1ccc(F)cc1,13.2,1.0,0.1,10.1021/acs.orglett.9b01290,IC3
7429,3877,OCC[C@H](CO)Nc1ccc(F)cc1,10.8,1.0,0.1,10.1021/acs.orglett.9b01290,IC3
7433,3880,OCC[C@@H](CO)Nc1ccc(Br)cc1,13.9,1.0,0.1,10.1021/acs.orglett.9b01290,IC3
7434,3880,OCC[C@H](CO)Nc1ccc(Br)cc1,10.8,1.0,0.1,10.1021/acs.orglett.9b01290,IC3
7450,3889,Cc1cccc(c1)C(=O)C2(SCCCS2)[C@@H](C=Cc3ccccc3)c4ccccc4,9.7,1.0,0.02,10.1021/acs.orglett.6b03161,IC3
7451,3889,Cc1cccc(c1)C(=O)C2(SCCCS2)[C@H](C=Cc3ccccc3)c4ccccc4,10.8,1.0,0.02,10.1021/acs.orglett.6b03161,IC3
7531,3932,CCCCCC/C=C/[C@@H](OC(C)=O)[C@@]1(CCC(=N1)c2ccccc2)C(=O)OCC,14.1,1.0,0.1,10.31635/ccschem.021.202101044,IC3
7539,3937,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@H](OC(C)=O)\C(C)=C\CC,15.3,1.0,0.1,10.31635/ccschem.021.202101044,IC3
7540,3937,CCOC(=O)[C@@]1(CCC(=N1)c2ccccc2)[C@H](OC(C)=O)\C(C)=C\CC,10.9,1.0,0.1,10.31635/ccschem.021.202101044,IC3
7541,3938,CCC/C=C/[C@H](OC(C)=O)[C@@]1(CCC(=N1)c2ccccc2)C(=O)OCC,16.5,1.0,0.1,10.31635/ccschem.021.202101044,IC3
7560,3948,Cc1ccc(C=C[C@@H](c2ccc(C)cc2)C3(SCCCS3)C(=O)c4ccccc4)cc1,8.8,1.0,0.02,10.1021/acs.orglett.6b03161,IC3
7561,3948,Cc1ccc(C=C[C@H](c2ccc(C)cc2)C3(SCCCS3)C(=O)c4ccccc4)cc1,10.9,1.0,0.02,10.1021/acs.orglett.6b03161,IC3
7576,3956,CC(C)(C)C(=O)OC[C@H](O)c1ccc(cc1)c2ccccc2,9.8,0.6,0.2,10.1002/anie.201306231,IC3
7577,3956,CC(C)(C)C(=O)OC[C@@H](O)c1ccc(cc1)c2ccccc2,10.9,0.6,0.2,10.1002/anie.201306231,IC3
7629,3989,CN1[C@H](CCC1=O)c2ccc(F)cc2,99.2,0.6,0.1,10.1021/acs.orglett.7b00651,IC3
7630,3989,CN1[C@@H](CCC1=O)c2ccc(F)cc2,102.1,0.6,0.1,10.1021/acs.orglett.7b00651,IC3
7648,4000,C[C@H](COC(=O)C(C)(C)C)c1ccccc1,10.2,0.5,0.01,10.1021/acs.orglett.7b03469,IC3
7649,4000,C[C@@H](COC(=O)C(C)(C)C)c1ccccc1,11.0,0.5,0.01,10.1021/acs.orglett.7b03469,IC3
7650,4001,C[C@H](COC(=O)C(C)(C)C)c1ccccc1,10.2,0.5,0.01,10.1021/acs.orglett.7b03469,IC3
7651,4001,C[C@@H](COC(=O)C(C)(C)C)c1ccccc1,11.0,0.5,0.01,10.1021/acs.orglett.7b03469,IC3
7678,4017,CCOC(=O)[C@]1(CCC(=N1)c2sccc2)[C@@H](OC(C)=O)\C=C\c3ccccc3,15.3,1.0,0.2,10.31635/ccschem.021.202101044,IC3
7768,4069,CCO[C@@](NC(=O)OC(C)(C)C)(C#Cc1ccccc1)C(=O)OC,15.105,1.0,0.1,10.1038/s41467/022/28002/7,IC3
7769,4069,CCO[C@](NC(=O)OC(C)(C)C)(C#Cc1ccccc1)C(=O)OC,11.096,1.0,0.1,10.1038/s41467/022/28002/7,IC3
7772,4071,O=C(c1ccccc1)C2(SCCCS2)[C@@H](C=Cc3ccccc3)c4ccccc4,10.1,1.0,0.02,10.1021/acs.orglett.6b03161,IC3
7773,4071,O=C(c1ccccc1)C2(SCCCS2)[C@H](C=Cc3ccccc3)c4ccccc4,11.1,1.0,0.02,10.1021/acs.orglett.6b03161,IC3
7823,4098,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@@H](OC(C)=O)\C=C\c3ccc(Cl)cc3,16.7,1.0,0.1,10.31635/ccschem.021.202101044,IC3
7908,4146,CCOC(=O)[C@]1(CCC(=N1)c2cccc(Cl)c2)[C@H](OC(C)=O)\C=C\c3ccccc3,13.4,1.0,0.1,10.31635/ccschem.021.202101044,IC3
7909,4146,CCOC(=O)[C@@]1(CCC(=N1)c2cccc(Cl)c2)[C@H](OC(C)=O)\C=C\c3ccccc3,11.2,1.0,0.1,10.31635/ccschem.021.202101044,IC3
7912,4148,COc1ccc(cn1)C2=N[C@@](CC2)(C\C=C\c3ccccc3)C(=O)OC(C)(C)C,13.5,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
7913,4148,COc1ccc(cn1)C2=N[C@](CC2)(C\C=C\c3ccccc3)C(=O)OC(C)(C)C,11.2,1.0,0.05,10.1021/acs.orglett.8b02902,IC3
7933,4159,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2F)[C@H](OC(C)=O)\C=C\c3ccccc3,16.3,1.0,0.1,10.31635/ccschem.021.202101044,IC3
7934,4159,CCOC(=O)[C@@]1(CCC(=N1)c2ccccc2F)[C@H](OC(C)=O)\C=C\c3ccccc3,11.2,1.0,0.1,10.31635/ccschem.021.202101044,IC3
7966,4177,CCOC(=O)[C@@](NC(=O)OC(C)(C)C)(OCC=C(C)C)C#Cc1ccccc1,14.7,1.0,0.1,10.1038/s41467/022/28002/7,IC3
7967,4177,CCOC(=O)[C@](NC(=O)OC(C)(C)C)(OCC=C(C)C)C#Cc1ccccc1,11.221,1.0,0.1,10.1038/s41467/022/28002/7,IC3
8026,4211,COC(=O)[C@@](C)(N)[C@@H](C=C)c1ccccc1F,14.8,1.0,0.05,10.1021/jacs.8b00187,IC3
8027,4212,COC(=O)[C@@](C)(N)[C@@H](C=C)c1ccccc1F,14.8,1.0,0.05,10.1021/jacs.8b00187,IC3
8035,4218,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@H](OC(C)=O)\C(C)=C\c3ccccc3,16.6,1.0,0.1,10.31635/ccschem.021.202101044,IC3
8036,4218,CCOC(=O)[C@@]1(CCC(=N1)c2ccccc2)[C@H](OC(C)=O)\C(C)=C\c3ccccc3,11.3,1.0,0.1,10.31635/ccschem.021.202101044,IC3
8038,4220,CCc1ccccc1N[C@H](CO)CCCO,17.0,1.0,0.1,10.1021/acs.orglett.9b01290,IC3
8039,4220,CCc1ccccc1N[C@@H](CO)CCCO,11.3,1.0,0.1,10.1021/acs.orglett.9b01290,IC3
8096,4253,O[C@]1([C@H](C=C)c2cccc(Cl)c2)C(=O)N(Cc3cccc4ccccc34)c5ccccc15,13.763,1.0,0.1,10.1021/acs.orglett.8b02655,IC3
8097,4253,O[C@@]1([C@H](C=C)c2cccc(Cl)c2)C(=O)N(Cc3cccc4ccccc34)c5ccccc15,11.332,1.0,0.1,10.1021/acs.orglett.8b02655,IC3
8167,4295,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@H](OC(C)=O)\C=C\C3CCCCC3,14.3,1.0,0.1,10.31635/ccschem.021.202101044,IC3
8168,4295,CCOC(=O)[C@@]1(CCC(=N1)c2ccccc2)[C@H](OC(C)=O)\C=C\C3CCCCC3,11.4,1.0,0.1,10.31635/ccschem.021.202101044,IC3
8257,4343,Clc1ccccc1[C@H]2N[S](=O)(=O)Oc3ccccc23,12.3,1.0,0.1,10.1039/C6CC08759K,IC3
8258,4343,Clc1ccccc1[C@@H]2N[S](=O)(=O)Oc3ccccc23,11.5,1.0,0.1,10.1039/C6CC08759K,IC3
8355,4397,O[C@]1([C@H](C=C)c2ccc(Cl)cc2)C(=O)N(Cc3cccc4ccccc34)c5ccccc15,14.55,1.0,0.1,10.1021/acs.orglett.8b02655,IC3
8356,4397,O[C@@]1([C@H](C=C)c2ccc(Cl)cc2)C(=O)N(Cc3cccc4ccccc34)c5ccccc15,11.591,1.0,0.1,10.1021/acs.orglett.8b02655,IC3
8402,4424,CCOC(=O)[C@]1(CCC(=N1)c2cccc(OC)n2)[C@@H](OC(C)=O)\C=C\c3ccccc3,14.9,1.0,0.2,10.31635/ccschem.021.202101044,IC3
8411,4429,CCOC(=O)[C@]1(CCC(=N1)c2ccc(OC)cc2)[C@@H](OC(C)=O)\C=C\c3ccccc3,17.3,1.0,0.2,10.31635/ccschem.021.202101044,IC3
8414,4431,CCOC(=O)[C@]1(CCC(=N1)c2cccc(OC)n2)[C@H](OC(C)=O)\C=C\c3ccccc3,18.1,1.0,0.2,10.31635/ccschem.021.202101044,IC3
8415,4431,CCOC(=O)[C@@]1(CCC(=N1)c2cccc(OC)n2)[C@H](OC(C)=O)\C=C\c3ccccc3,11.6,1.0,0.2,10.31635/ccschem.021.202101044,IC3
8479,4467,COc1ccc(/C=C/[C@H](C)[C@@](C)(N)C(=O)OC(C)(C)C)c(OC)c1,10.4,1.0,0.1,10.1021/jacs.0c02150,IC3
8551,4505,FC(F)(F)c1cccc(c1)C2=C(C#N)[C@@H]3CCC=C[C@@H]3O2,12.678,1.0,0.01,10.1039/C9CC07204G,IC3
8608,4534,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@@H](OC(C)=O)\C=C\c3ccc(F)cc3,15.7,1.0,0.1,10.31635/ccschem.021.202101044,IC3
8707,4589,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@H](OC(C)=O)\C=C\CC\C=C/CC,14.5,1.0,0.1,10.31635/ccschem.021.202101044,IC3
8708,4589,CCOC(=O)[C@@]1(CCC(=N1)c2ccccc2)[C@H](OC(C)=O)\C=C\CC\C=C/CC,11.9,1.0,0.1,10.31635/ccschem.021.202101044,IC3
8729,4602,CC(C)(C)C(=O)OC[C@H](O)c1ccccc1,8.6,0.6,0.2,10.1002/anie.201306231,IC3
8730,4602,CC(C)(C)C(=O)OC[C@@H](O)c1ccccc1,11.9,0.6,0.2,10.1002/anie.201306231,IC3
8733,4604,CC(C)(C)C(=O)OC[C@H](O)c1ccc2ccccc2c1,9.3,0.6,0.2,10.1002/anie.201306231,IC3
8734,4604,CC(C)(C)C(=O)OC[C@@H](O)c1ccc2ccccc2c1,11.9,0.6,0.2,10.1002/anie.201306231,IC3
8743,4609,C[C@H](NNC(=O)c1ccccc1)c2ccc(Cl)c(Cl)c2,13.024,1.0,0.1,10.1002/anie.201909928,IC3
8744,4609,C[C@@H](NNC(=O)c1ccccc1)c2ccc(Cl)c(Cl)c2,11.92,1.0,0.1,10.1002/anie.201909928,IC3
8778,4627,CCOC(=O)[C@@](NC(=O)OC(C)(C)C)(OCC)C#Cc1ccc(C)cc1,17.967,1.0,0.1,10.1038/s41467/022/28002/7,IC3
8779,4627,CCOC(=O)[C@](NC(=O)OC(C)(C)C)(OCC)C#Cc1ccc(C)cc1,11.971,1.0,0.1,10.1038/s41467/022/28002/7,IC3
8780,4628,CC[C@@H](NNC(=O)c1ccccc1)c2ccccc2,9.145,0.8,0.2,10.1002/ejoc.202100642,IC3
8781,4628,CC[C@H](NNC(=O)c1ccccc1)c2ccccc2,11.972,0.8,0.2,10.1002/ejoc.202100642,IC3
8788,4632,C[C@@H]1C[C@@H](O)N2C(=C1)c3ccccc3[S]2(=O)=O,79.51,1.0,0.1,10.1039/C4CC07051H,IC3
8789,4633,CC(C)[C@@]1(C)CC(=NN1C(=O)c2ccncc2)c3ccccc3C,89.2,0.8,0.4,10.1021/jacs.8b02865,IC3
8790,4633,CC(C)[C@]1(C)CC(=NN1C(=O)c2ccncc2)c3ccccc3C,111.2,0.8,0.4,10.1021/jacs.8b02865,IC3
8795,4637,COC(=O)[C@@H](Cc1ccc(OC(=O)c2ccccc2)c(OC)c1)OC(=O)c3ccccc3,70.0,1.0,0.05,10.1002/adsc.201800774,IC3
8796,4637,COC(=O)[C@H](Cc1ccc(OC(=O)c2ccccc2)c(OC)c1)OC(=O)c3ccccc3,111.9,1.0,0.05,10.1002/adsc.201800774,IC3
8803,4642,CN1[C@H](CCC1=O)c2ccc3OCOc3c2,111.3,0.6,0.15,10.1021/acs.orglett.7b00651,IC3
8804,4642,CN1[C@@H](CCC1=O)c2ccc3OCOc3c2,116.7,0.6,0.15,10.1021/acs.orglett.7b00651,IC3
8810,4647,Brc1ccc2O[S](=O)(=O)N[C@H](c3ccccc3)c2c1,10.9,1.0,0.1,10.1039/C6CC08759K,IC3
8811,4647,Brc1ccc2O[S](=O)(=O)N[C@@H](c3ccccc3)c2c1,12.0,1.0,0.1,10.1039/C6CC08759K,IC3
8830,4657,CCCCC/C=C/[C@@H](OC(C)=O)[C@@]1(CCC(=N1)c2ccccc2)C(=O)OCC,14.4,1.0,0.1,10.31635/ccschem.021.202101044,IC3
8833,4659,CCOC(=O)[C@]1(CCC(=N1)c2occc2)[C@@H](OC(C)=O)\C=C\c3ccccc3,15.5,1.0,0.2,10.31635/ccschem.021.202101044,IC3
8834,4660,CCOC(=O)[C@]1(CCC(=N1)c2cccc(F)c2)[C@H](OC(C)=O)\C=C\c3ccccc3,15.7,1.0,0.1,10.31635/ccschem.021.202101044,IC3
8835,4660,CCOC(=O)[C@@]1(CCC(=N1)c2cccc(F)c2)[C@H](OC(C)=O)\C=C\c3ccccc3,12.0,1.0,0.1,10.31635/ccschem.021.202101044,IC3
8894,4692,C[C@H](NNC(=O)c1ccccc1)c2ccc(F)c(F)c2,12.554,1.0,0.1,10.1002/anie.201909928,IC3
8895,4692,C[C@@H](NNC(=O)c1ccccc1)c2ccc(F)c(F)c2,12.047,1.0,0.1,10.1002/anie.201909928,IC3
8920,4706,CC(C)(C)OC(=O)N[C@@H]1Cc2ccccc2[C@@H]1N=[N+]=[N-],10.5,1.0,0.02,10.1021/acs.orglett.6b00212,IC3
8936,4716,Cc1cccc2c1OC(=O)[C@]2(C)C(=O)OCC=C,12.7,0.6,0.05,10.1039/C9QO01025D,IC3
8937,4716,Cc1cccc2c1OC(=O)[C@@]2(C)C(=O)OCC=C,12.1,0.6,0.05,10.1039/C9QO01025D,IC3
8951,4724,OCCC[C@@H](CO)Nc1cccc(Cl)c1,13.7,1.0,0.1,10.1021/acs.orglett.9b01290,IC3
8952,4724,OCCC[C@H](CO)Nc1cccc(Cl)c1,12.1,1.0,0.1,10.1021/acs.orglett.9b01290,IC3
8971,4735,COc1ccc(N[C@H](CO)CCCO)c(OC)c1,19.8,1.0,0.25,10.1021/acs.orglett.9b01290,IC3
8972,4735,COc1ccc(N[C@@H](CO)CCCO)c(OC)c1,12.1,1.0,0.25,10.1021/acs.orglett.9b01290,IC3
8977,4738,C[C@@H](C=C)[C@H](NC(=O)OCc1ccccc1)C(=O)OC(C)(C)C,9.6,1.0,0.03,10.1002/adsc.201801148,IC3
8978,4739,C[C@@H](C=C)[C@H](NC(=O)OCc1ccccc1)C(=O)OC(C)(C)C,9.6,1.0,0.03,10.1002/adsc.201801148,IC3
9031,4768,Cc1cccc2c1OC(=O)[C@]2(C)C(=O)OCC=C,13.1,0.6,0.05,10.1039/c6cc09451a,IC3
9032,4768,Cc1cccc2c1OC(=O)[C@@]2(C)C(=O)OCC=C,12.2,0.6,0.05,10.1039/c6cc09451a,IC3
9041,4773,CC(C)(C)c1ccc(cc1)[C@H]2N[S](=O)(=O)Oc3ccccc23,14.2,1.0,0.1,10.1039/C6CC08759K,IC3
9042,4773,CC(C)(C)c1ccc(cc1)[C@@H]2N[S](=O)(=O)Oc3ccccc23,12.2,1.0,0.1,10.1039/C6CC08759K,IC3
9053,4779,Fc1cccc2N[C@H]3CCCC[C@H]3c12,18.7,0.5,0.01,10.1016/j.tet.2013.06.016,IC3
9054,4779,Fc1cccc2N[C@@H]3CCCC[C@H]3c12,12.2,0.5,0.01,10.1016/j.tet.2013.06.016,IC3
9057,4781,CC(C)(C)C(=O)OC[C@@H](O)c1sccc1,7.0,0.8,0.2,10.1002/anie.201306231,IC3
9058,4781,CC(C)(C)C(=O)OC[C@H](O)c1sccc1,12.2,0.8,0.2,10.1002/anie.201306231,IC3
9101,4807,CC(C)C(=O)OC[C@@H](C)c1ccccc1,11.5,0.5,0.01,10.1021/acs.orglett.7b03469,IC3
9102,4807,CC(C)C(=O)OC[C@H](C)c1ccccc1,12.3,0.5,0.01,10.1021/acs.orglett.7b03469,IC3
9103,4808,CC(C)C(=O)OC[C@@H](C)c1ccccc1,11.5,0.5,0.01,10.1021/acs.orglett.7b03469,IC3
9104,4808,CC(C)C(=O)OC[C@H](C)c1ccccc1,12.3,0.5,0.01,10.1021/acs.orglett.7b03469,IC3
9121,4817,OCCC[C@@H](CO)Nc1ccc(Cl)cc1,13.8,1.0,0.1,10.1021/acs.orglett.9b01290,IC3
9122,4817,OCCC[C@H](CO)Nc1ccc(Cl)cc1,12.3,1.0,0.1,10.1021/acs.orglett.9b01290,IC3
